consultancy_name,state,area_district,students_applied,successful_applications,consultancy_fee_inr,commission_fee_inr,total_fee_inr,rating,reviews,primary_country,us_applications_pct,uk_applications_pct,germany_applications_pct
Elite Guidance,Odisha,Cuttack,1012,755,24000,1200,25200,3.2,3097,US,74,8,18
Elite Consultants,Kerala,Thrissur,666,620,30000,1500,31500,4.4,2198,US,69,10,21
Pioneer Services,Rajasthan,Bikaner,358,288,34000,1700,35700,3.1,3700,Germany,15,16,69
Edu Ventures,Gujarat,Surat,1558,1352,40000,2000,42000,3.2,4104,UK,12,60,28
Overseas Pathways,Mizoram,Champhai,784,660,22000,1100,23100,4.6,2290,US,52,25,23
Pinnacle Mentors,Tripura,Kailashahar,3302,2706,48000,2400,50400,4.3,178,UK,28,60,12
Overseas Pathways,Odisha,Berhampur,1928,1512,32000,1600,33600,3.4,4500,Germany,23,8,69
Pioneer Pathways,Karnataka,Mangaluru,1686,1116,53000,2650,55650,4.4,4895,Germany,17,18,65
Elite Services,Odisha,Sambalpur,1136,914,61000,3050,64050,5,4292,Germany,36,6,58
Global Ventures,Arunachal Pradesh,Pasighat,2745,2340,58000,2900,60900,3.9,1842,Germany,14,14,72
Overseas Advisors,Goa,Panaji,2334,2176,37000,1850,38850,4.6,4311,UK,11,65,24
Elite Guidance Global,Manipur,Ukhrul,4508,2751,38000,1900,39900,4.5,659,Germany,5,19,76
Global Solutions,Nagaland,Kohima,2554,2419,16000,800,16800,4.8,4289,US,74,11,15
Global Advisors,Maharashtra,Aurangabad,4752,3649,66000,3300,69300,4.2,3427,UK,9,64,27
Path Education,West Bengal,Durgapur,1873,1706,52000,2600,54600,4.9,4590,Germany,32,14,54
Gateway Pathways,Delhi,Dwarka,4771,3097,39000,1950,40950,4.2,4883,Germany,8,22,70
Global Ventures,Haryana,Rohtak,3290,2366,60000,3000,63000,3.6,2046,US,60,30,10
Pioneer Guidance,Gujarat,Ahmedabad,1296,946,64000,3200,67200,3.9,2665,Germany,14,40,46
Study Guidance,Uttar Pradesh,Lucknow,4174,3351,14000,700,14700,3.1,50,UK,16,76,8
Path Mentors,Mizoram,Aizawl,103,64,55000,2750,57750,3.1,4285,US,70,10,20
Premier Ventures,Meghalaya,Tura,368,246,20000,1000,21000,4.6,2308,Germany,12,36,52
Overseas Education International,Gujarat,Vadodara,3396,3037,72000,3600,75600,3.7,4263,US,50,32,18
Gateway Pathways,Kerala,Kozhikode,1187,730,62000,3100,65100,4.7,1890,Germany,20,20,60
Premier Experts Global,Mizoram,Lunglei,3660,3109,24000,1200,25200,4.7,3793,US,72,20,8
Summit Pathways,Madhya Pradesh,Bhopal,2686,1613,48000,2400,50400,4.5,4413,Germany,10,28,62
Study Mentors,Jammu and Kashmir,Jammu,4214,3549,23000,1150,24150,4.5,543,Germany,18,22,60
Premier Services,Telangana,Khammam,2047,1881,43000,2150,45150,4.7,3820,US,65,10,25
Path Experts,Gujarat,Rajkot,1262,1141,21000,1050,22050,3.7,4478,Germany,17,32,51
Horizon Experts,Gujarat,Jamnagar,2301,1885,40000,2000,42000,4.5,2665,Germany,17,34,49
Vision Consultants,Jammu and Kashmir,Anantnag,2198,1948,14000,700,14700,4.9,619,UK,17,77,6
Future Pathways India,Andhra Pradesh,Guntur,4621,4242,70000,3500,73500,4.4,1769,UK,31,54,15
Summit Mentors,Mizoram,Serchhip,725,523,66000,3300,69300,4.2,3429,Germany,33,5,62
Summit Education,Himachal Pradesh,Shimla,3974,2666,28000,1400,29400,3.7,4528,Germany,9,12,79
Global Solutions,Arunachal Pradesh,Ziro,4091,3712,11000,550,11550,3.8,2896,US,68,26,6
Vision Mentors,West Bengal,Kolkata,1532,976,16000,800,16800,4.2,1000,UK,26,67,7
Pinnacle Guidance,Delhi,Connaught Place,2973,2672,15000,750,15750,3.9,4913,UK,33,61,6
Premier Consultants,Gujarat,Surat,4880,3815,42000,2100,44100,4.5,1435,UK,15,68,17
Study Services,Kerala,Kozhikode,3668,3161,30000,1500,31500,3.9,4160,US,55,30,15
Future Pathways,West Bengal,Howrah,1059,904,33000,1650,34650,4.2,1571,UK,26,57,17
Pioneer Ventures,Mizoram,Serchhip,649,458,32000,1600,33600,3.6,4320,US,49,30,21
Pioneer Experts,Mizoram,Kolasib,3811,2464,37000,1850,38850,3.5,956,US,51,13,36
Pioneer Pathways,Kerala,Kozhikode,4202,2665,39000,1950,40950,4.7,341,US,52,15,33
Path Services,Kerala,Kollam,208,135,27000,1350,28350,4.1,4153,UK,9,50,41
Vision Group,Arunachal Pradesh,Tawang,3451,3055,75000,3750,78750,3.2,593,US,46,18,36
Premier Ventures,Punjab,Chandigarh,2975,2343,46000,2300,48300,3.3,4831,Germany,27,6,67
Vision Consultants,Kerala,Kollam,997,704,12000,600,12600,4.2,4200,US,76,10,14
Future Services,Andhra Pradesh,Kurnool,2352,2145,71000,3550,74550,3,1775,US,45,10,45
Gateway Pathways India,Andhra Pradesh,Nellore,4661,3335,46000,2300,48300,3.3,2908,Germany,33,14,53
Premier Services,Tamil Nadu,Madurai,862,805,65000,3250,68250,3.7,865,Germany,28,26,46
Path Guidance,Mizoram,Aizawl,2571,1564,38000,1900,39900,4,2424,Germany,24,27,49
Horizon Experts,Punjab,Bathinda,835,701,16000,800,16800,3.5,29,UK,31,53,16
Gateway Consultants,Meghalaya,Shillong,4551,3663,74000,3700,77700,3.8,3201,Germany,5,15,80
Study Services,Sikkim,Singtam,1766,1304,21000,1050,22050,3,898,US,74,9,17
Summit Mentors,Gujarat,Ahmedabad,213,141,60000,3000,63000,3,448,Germany,7,45,48
Global Experts India,Himachal Pradesh,Shimla,4765,4290,73000,3650,76650,4.1,3447,UK,12,76,12
Summit Guidance,Haryana,Ambala,1946,1371,73000,3650,76650,3.1,4032,UK,12,61,27
Gateway Services,Jammu and Kashmir,Kathua,1975,1321,26000,1300,27300,4.5,2619,Germany,10,24,66
Elite Advisors,Jharkhand,Jamshedpur,2768,1882,12000,600,12600,3.8,1432,UK,36,47,17
Edu Group Global,Himachal Pradesh,Manali,4478,3146,40000,2000,42000,4.4,493,UK,8,60,32
Gateway Experts Network,Andhra Pradesh,Guntur,3723,2558,63000,3150,66150,4.3,437,Germany,11,40,49
Global Mentors,Jammu and Kashmir,Jammu,2850,1989,74000,3700,77700,4.2,2565,UK,14,45,41
Pioneer Solutions,Gujarat,Jamnagar,945,786,67000,3350,70350,4.8,3986,Germany,29,16,55
Apex Solutions,Assam,Jorhat,1560,1214,40000,2000,42000,3.1,2246,US,60,27,13
Premier Pathways International,Meghalaya,Jowai,1929,1658,40000,2000,42000,3.2,2195,UK,32,49,19
Gateway Advisors,Karnataka,Hubballi,3814,2886,20000,1000,21000,3.1,3761,Germany,44,10,46
Summit Education,Maharashtra,Nagpur,2227,1546,22000,1100,23100,4.5,901,US,56,14,30
Apex Pathways,Meghalaya,Nongpoh,1502,1214,69000,3450,72450,4.4,2482,UK,35,47,18
Vision Experts,Rajasthan,Jodhpur,3183,2145,12000,600,12600,3.8,4650,UK,27,55,18
Edu Experts,Maharashtra,Pune,2308,1410,56000,2800,58800,4.4,787,UK,17,65,18
Summit Ventures,Assam,Jorhat,777,683,73000,3650,76650,3.9,3170,US,72,12,16
Elite Mentors,Jharkhand,Deoghar,245,206,49000,2450,51450,5,1787,US,62,17,21
Pioneer Pathways,Jammu and Kashmir,Jammu,57,48,27000,1350,28350,3.3,294,US,70,23,7
Overseas Mentors,Punjab,Amritsar,2045,1770,15000,750,15750,4,1561,UK,35,54,11
Summit Ventures,Goa,Panaji,646,583,58000,2900,60900,4.5,3530,Germany,32,12,56
Path Ventures,Haryana,Faridabad,739,500,12000,600,12600,4,58,UK,5,48,47
Study Consultants Global,Maharashtra,Aurangabad,2585,2271,47000,2350,49350,3.6,3707,US,58,15,27
Elite Guidance,Punjab,Amritsar,3425,2486,60000,3000,63000,4.2,697,US,49,39,12
Horizon Services International,Jharkhand,Deoghar,4760,3499,28000,1400,29400,4.6,4271,US,51,37,12
Path Guidance,Gujarat,Gandhinagar,744,465,11000,550,11550,4.5,4318,US,62,7,31
Edu Guidance,Uttarakhand,Haridwar,2233,2044,14000,700,14700,3.1,2913,US,70,15,15
Pinnacle Group,Manipur,Bishnupur,2430,1796,75000,3750,78750,4.6,4463,UK,43,49,8
Global Pathways Global,Gujarat,Surat,828,562,23000,1150,24150,3.7,503,Germany,11,37,52
Vision Experts,Nagaland,Kohima,2660,2180,28000,1400,29400,3.3,4398,UK,18,75,7
Pinnacle Consultants,Rajasthan,Jaipur,3722,2757,22000,1100,23100,3.8,440,Germany,12,39,49
Edu Ventures,Andhra Pradesh,Nellore,724,580,24000,1200,25200,3.8,1397,UK,30,61,9
Path Solutions International,Chhattisgarh,Durg,4222,2964,71000,3550,74550,4.9,46,US,70,10,20
Apex Pathways,Karnataka,Belagavi,4806,4416,38000,1900,39900,3.7,1065,UK,32,47,21
Overseas Solutions International,Odisha,Rourkela,1648,1422,66000,3300,69300,3.9,3057,US,49,10,41
Edu Advisors,Jammu and Kashmir,Kathua,3135,2664,21000,1050,22050,4.8,3543,UK,13,79,8
Vision Group,Karnataka,Mysuru,856,658,42000,2100,44100,4.9,673,US,45,41,14
Overseas Services Global,Karnataka,Belagavi,4198,3531,59000,2950,61950,3.4,1425,Germany,41,9,50
Global Experts,Arunachal Pradesh,Pasighat,2164,1535,73000,3650,76650,4.6,1842,Germany,17,8,75
Gateway Solutions Global,Jammu and Kashmir,Jammu,3022,2643,59000,2950,61950,4.8,1763,US,58,12,30
Global Mentors International,Odisha,Cuttack,143,127,71000,3550,74550,3.5,812,UK,7,74,19
Apex Advisors,Uttarakhand,Haridwar,2478,2028,70000,3500,73500,4.5,1321,Germany,17,18,65
Future Experts,West Bengal,Durgapur,2498,1819,40000,2000,42000,3.3,3540,US,75,20,5
Future Education,Goa,Panaji,1195,855,33000,1650,34650,3.5,50,UK,13,52,35
Vision Services,Odisha,Rourkela,2330,1634,27000,1350,28350,4.9,1278,UK,5,75,20
Horizon Group,Chhattisgarh,Raipur,2688,1869,34000,1700,35700,3.3,2896,US,66,28,6
Premier Experts,Punjab,Ludhiana,4224,3831,40000,2000,42000,4.9,3294,Germany,17,12,71
Vision Ventures,Bihar,Gaya,4275,3812,29000,1450,30450,3.3,1348,US,55,9,36
Gateway Education,Himachal Pradesh,Mandi,304,235,45000,2250,47250,3.7,3522,US,70,11,19
Horizon Education,Kerala,Kollam,4083,2796,55000,2750,57750,3.6,691,UK,7,78,15
Vision Advisors Global,Bihar,Gaya,417,332,47000,2350,49350,3.3,1384,US,71,9,20
Summit Pathways,Rajasthan,Ajmer,3513,2730,41000,2050,43050,3.4,4084,UK,18,74,8
Apex Mentors Network,Assam,Guwahati,2727,2461,48000,2400,50400,3.7,3863,Germany,13,36,51
Pioneer Advisors International,Uttar Pradesh,Kanpur,3573,2396,65000,3250,68250,4.2,3522,US,67,14,19
Path Experts Global,Mizoram,Serchhip,3530,3327,59000,2950,61950,4.5,3986,US,57,13,30
Pioneer Experts,Madhya Pradesh,Indore,1647,1509,42000,2100,44100,4.8,1443,Germany,12,14,74
Summit Consultants,Karnataka,Mysuru,645,472,40000,2000,42000,3.6,3947,UK,9,63,28
Apex Mentors,Chhattisgarh,Bilaspur,537,399,21000,1050,22050,4.9,1852,UK,21,56,23
Gateway Experts,Maharashtra,Mumbai,2302,1746,35000,1750,36750,3.1,4668,US,56,25,19
Vision Ventures,Sikkim,Gyalshing,1789,1627,16000,800,16800,3.3,4545,Germany,22,27,51
Edu Advisors,Uttarakhand,Haldwani,3332,2412,61000,3050,64050,4.9,149,Germany,8,20,72
Elite Ventures Network,Meghalaya,Shillong,1439,951,71000,3550,74550,3.3,2942,Germany,16,8,76
Apex Education,Goa,Margao,4191,3302,23000,1150,24150,3.4,4720,US,59,5,36
Vision Mentors,Mizoram,Aizawl,414,260,40000,2000,42000,3.9,936,UK,13,74,13
Apex Solutions,Rajasthan,Udaipur,69,44,71000,3550,74550,3.8,1131,US,63,10,27
Gateway Group,Tamil Nadu,Coimbatore,3921,3106,25000,1250,26250,3.5,2052,Germany,13,38,49
Pinnacle Advisors Global,West Bengal,Darjeeling,3807,2838,45000,2250,47250,4.4,1201,UK,36,45,19
Vision Mentors,Arunachal Pradesh,Pasighat,117,94,66000,3300,69300,4.4,4009,Germany,27,13,60
Horizon Experts,Bihar,Gaya,3192,2000,16000,800,16800,3.3,3941,UK,23,54,23
Gateway Advisors,Uttarakhand,Haridwar,1508,1011,27000,1350,28350,5,1852,Germany,18,9,73
Edu Consultants,Goa,Margao,1625,1314,60000,3000,63000,3.7,2686,UK,33,54,13
Overseas Services,Goa,Panaji,696,602,72000,3600,75600,4.7,3472,Germany,9,45,46
Apex Group,West Bengal,Darjeeling,4048,3633,44000,2200,46200,3.7,2209,US,76,12,12
Horizon Experts,Gujarat,Gandhinagar,791,560,33000,1650,34650,4.4,4197,UK,32,63,5
Overseas Advisors Network,Mizoram,Champhai,1502,1108,49000,2450,51450,4.2,1134,US,79,14,7
Premier Ventures,Delhi,Saket,4543,3373,36000,1800,37800,4,128,UK,25,61,14
Future Advisors International,Punjab,Ludhiana,1568,1100,20000,1000,21000,3.2,2333,Germany,13,28,59
Pioneer Guidance,Kerala,Kozhikode,872,634,15000,750,15750,3.4,3443,US,62,27,11
Vision Consultants,Jammu and Kashmir,Baramulla,94,62,22000,1100,23100,4.9,1986,US,49,46,5
Path Ventures,Tripura,Kailashahar,2858,2583,45000,2250,47250,4.7,3484,Germany,25,13,62
Premier Mentors India,Jharkhand,Deoghar,4296,2664,40000,2000,42000,4.3,4823,Germany,28,25,47
Edu Education,Himachal Pradesh,Solan,1164,698,69000,3450,72450,3.4,3688,US,61,10,29
Vision Consultants Global,Manipur,Bishnupur,3154,2096,52000,2600,54600,4.5,2539,US,68,18,14
Pinnacle Services,Gujarat,Ahmedabad,571,405,58000,2900,60900,4.6,2890,US,53,9,38
Horizon Pathways,Jharkhand,Jamshedpur,1477,989,11000,550,11550,4.5,3309,Germany,21,19,60
Global Education,Meghalaya,Nongpoh,2542,2225,65000,3250,68250,3.2,286,UK,11,78,11
Pinnacle Ventures,Jammu and Kashmir,Kathua,4779,4217,74000,3700,77700,3.8,2899,UK,24,62,14
Future Pathways International,Chhattisgarh,Bhilai,3341,2722,67000,3350,70350,4.9,537,US,47,42,11
Vision Solutions,Andhra Pradesh,Tirupati,3327,2405,54000,2700,56700,3.4,3673,UK,38,54,8
Study Ventures,Meghalaya,Nongpoh,3183,2087,31000,1550,32550,4.5,400,Germany,30,8,62
Study Education,Gujarat,Vadodara,4430,3042,73000,3650,76650,3.5,448,Germany,46,7,47
Study Education,Jammu and Kashmir,Anantnag,315,248,66000,3300,69300,3.6,1448,Germany,25,6,69
Study Solutions,Mizoram,Serchhip,2671,2154,25000,1250,26250,3.1,3154,UK,11,73,16
Pinnacle Experts,Maharashtra,Nashik,4751,4217,19000,950,19950,4,2002,UK,13,72,15
Apex Guidance,Jammu and Kashmir,Anantnag,3507,2624,70000,3500,73500,4.1,1563,Germany,26,25,49
Horizon Pathways,Meghalaya,Jowai,443,292,20000,1000,21000,4.1,3579,UK,17,61,22
Future Advisors,Bihar,Bhagalpur,2958,1956,29000,1450,30450,3.7,3249,Germany,17,20,63
Vision Services International,Rajasthan,Udaipur,2894,1764,56000,2800,58800,4.3,2071,US,73,5,22
Apex Mentors,Tamil Nadu,Vellore,4725,3392,62000,3100,65100,4.3,1287,US,69,20,11
Study Ventures,Punjab,Jalandhar,3489,2788,53000,2650,55650,3.9,555,Germany,37,18,45
Pioneer Ventures Network,Nagaland,Mokokchung,4783,3130,60000,3000,63000,3.2,839,UK,20,74,6
Gateway Ventures Network,Maharashtra,Mumbai,606,444,43000,2150,45150,3.9,750,US,64,18,18
Edu Experts,Odisha,Berhampur,3199,2726,38000,1900,39900,3.1,104,UK,13,62,25
Path Ventures,Sikkim,Singtam,1743,1249,51000,2550,53550,4.8,3848,UK,7,65,28
Vision Guidance,Andhra Pradesh,Vijayawada,2237,1400,37000,1850,38850,4.2,1501,Germany,33,17,50
Premier Mentors International,Nagaland,Wokha,2664,1799,38000,1900,39900,3.3,2135,Germany,24,18,58
Path Solutions,Andhra Pradesh,Guntur,2741,2390,11000,550,11550,4.5,3172,UK,32,52,16
Premier Experts,Arunachal Pradesh,Tawang,4174,2946,36000,1800,37800,3.5,3257,Germany,20,33,47
Horizon Consultants,Assam,Dibrugarh,1921,1722,27000,1350,28350,4.4,4448,UK,29,51,20
Elite Solutions,Andhra Pradesh,Visakhapatnam,373,261,18000,900,18900,4.9,3912,UK,20,63,17
Apex Mentors,Arunachal Pradesh,Bomdila,2479,2095,14000,700,14700,3.2,2942,US,59,6,35
Apex Mentors,West Bengal,Darjeeling,2771,1886,46000,2300,48300,3.4,4526,US,76,16,8
Edu Advisors,Karnataka,Belagavi,1921,1627,68000,3400,71400,4.8,566,US,54,16,30
Future Experts Network,Meghalaya,Shillong,2192,1989,42000,2100,44100,4.2,1844,Germany,28,11,61
Path Experts,Arunachal Pradesh,Ziro,995,768,45000,2250,47250,4.7,546,UK,25,56,19
Horizon Guidance,Jharkhand,Deoghar,906,601,71000,3550,74550,3.7,1590,US,70,14,16
Vision Solutions,Kerala,Kozhikode,3318,2080,58000,2900,60900,4.1,4051,US,79,7,14
Vision Consultants,Odisha,Cuttack,4458,2678,48000,2400,50400,3.5,4208,UK,10,77,13
Study Solutions,Punjab,Ludhiana,4442,4033,25000,1250,26250,3.9,2139,US,65,30,5
Overseas Ventures International,Jharkhand,Ranchi,3726,2837,62000,3100,65100,3.3,939,Germany,26,29,45
Premier Group,Manipur,Ukhrul,4884,4511,12000,600,12600,3.2,1526,US,60,10,30
Future Group Network,Uttarakhand,Haldwani,4904,4466,65000,3250,68250,5,1851,US,63,8,29
Vision Mentors International,Gujarat,Vadodara,2577,2108,42000,2100,44100,4.7,4648,US,56,14,30
Vision Solutions,Nagaland,Dimapur,1427,1336,10000,500,10500,3.6,4842,Germany,18,8,74
Horizon Solutions International,Rajasthan,Bikaner,441,295,72000,3600,75600,4.5,2759,US,60,17,23
Future Advisors,Uttarakhand,Roorkee,643,502,32000,1600,33600,4.2,4166,UK,14,64,22
Pinnacle Services,Uttarakhand,Rishikesh,613,572,10000,500,10500,3.3,3253,Germany,16,28,56
Edu Mentors,Punjab,Jalandhar,1342,863,11000,550,11550,4,416,US,45,44,11
Gateway Consultants,Assam,Jorhat,4202,2751,10000,500,10500,3.9,4620,UK,18,47,35
Summit Education,Maharashtra,Mumbai,3044,2503,49000,2450,51450,4.6,351,UK,8,69,23
Pioneer Pathways,Meghalaya,Nongpoh,4385,2717,69000,3450,72450,4.8,434,UK,18,72,10
Pinnacle Experts,Tamil Nadu,Tiruchirappalli,3286,2450,42000,2100,44100,4.3,1548,UK,38,45,17
Study Mentors,Maharashtra,Mumbai,422,296,13000,650,13650,4.9,1184,UK,18,57,25
Pinnacle Ventures,Andhra Pradesh,Tirupati,2648,1813,37000,1850,38850,5,3982,Germany,5,47,48
Global Ventures Network,Sikkim,Gyalshing,1805,1665,49000,2450,51450,4.9,1403,Germany,17,5,78
Gateway Pathways International,Sikkim,Gyalshing,4564,3563,57000,2850,59850,3.7,4780,UK,21,74,5
Summit Solutions,Andhra Pradesh,Tirupati,1810,1620,59000,2950,61950,3.2,189,UK,13,77,10
